sid,link_name,borough,polyline,link_length_ft,aggregation_period_sec,n_samples,median_calculation_timestamp,median_tt_sec,median_speed_fps
1004,42nd Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan,agvwFxmobMfCeI,514.26,900,38,4/5/2026 12:24:14,43.5,11.82
1011,42nd Street - Westbound - Lexington Ave to Madison Ave,Manhattan,_hvwF|lobMmGhS,1024.34,900,12,4/5/2026 12:24:14,271.0,3.78
2001,Lexington Avenue - Southbound - 49th St to 42nd St,Manhattan,ecwwFdynbMlZhS,1836.18,900,37,4/5/2026 12:24:14,132.0,13.91
2012,49th Street - Westbound - Lexington Ave to Madison Ave,Manhattan,ecwwFdynbMgC~HgC~H,1013.97,900,2,4/5/2026 12:24:14,165.0,6.15
3002,Lexington Avenue - Southbound - 57th St to 49th St,Manhattan,ybxwF`bnbM??vRxMzJfG,2109.11,900,56,4/5/2026 12:24:14,93.0,22.68
3006,57th Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan,kbxwFlbnbMfAiD`AuC,508.77,900,6,4/5/2026 12:24:14,63.5,8.01
4001,42nd Street - Westbound - 3rd Ave to Lexington Ave,Manhattan,ucvwF`cobMiCzH,504.02,900,59,4/5/2026 12:24:14,108.0,4.67
4005,3rd Avenue - Northbound - 42nd St to 49th St,Manhattan,icvwFhcobMgCyAoVgP,1847.0,900,30,4/5/2026 12:24:14,70.5,26.2
5002,49th Street - Westbound - 3rd Ave to Lexington Ave,Manhattan,a_wwFfonbMcC|H,501.04,900,2,4/5/2026 12:24:14,260.0,1.93
5006,3rd Avenue - Northbound - 49th St to 57th St,Manhattan,a_wwFfonbMq^aV,2105.67,900,21,4/5/2026 12:24:14,76.0,27.71
8011,Madison Avenue - Northbound - 34th St to 42nd St,Manhattan,opuwFnxpbM}JsGqJmG_G}D,2101.21,900,7,4/5/2026 12:24:14,125.0,16.81
11001,42nd Street - Eastbound - Madison Ave to Lexington Ave,Manhattan,qovwFxapbMxCiJtBuG,1014.02,900,20,4/5/2026 12:24:14,139.0,7.3
