"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"001004","42nd Street - Eastbound - Lexington Ave to 3rd Ave","Manhattan","agvwFxmobMfCeI","514.26","900","28","3/16/2026 16:15:01","69.5","7.4"
"001011","42nd Street - Westbound - Lexington Ave to Madison Ave","Manhattan","_hvwF|lobMmGhS","1024.34","900","9","3/16/2026 16:15:01","723","1.42"
"002001","Lexington Avenue - Southbound - 49th St to 42nd St","Manhattan","ecwwFdynbMlZhS","1836.18","900","55","3/16/2026 16:15:01","152","12.08"
"003002","Lexington Avenue - Southbound - 57th St to 49th St","Manhattan","ybxwF`bnbM??vRxMzJfG","2109.11","900","36","3/16/2026 16:15:01","125","16.87"
"003006","57th Street - Eastbound - Lexington Ave to 3rd Ave","Manhattan","kbxwFlbnbMfAiD`AuC","508.77","900","24","3/16/2026 16:15:01","18","28.26"
"004001","42nd Street - Westbound - 3rd Ave to Lexington Ave","Manhattan","ucvwF`cobMiCzH","504.02","900","37","3/16/2026 16:15:01","43","11.72"
"004005","3rd Avenue - Northbound - 42nd St to 49th St","Manhattan","icvwFhcobMgCyAoVgP","1847","900","35","3/16/2026 16:15:01","131","14.1"
"004042","42nd Street - Eastbound - 3rd Ave to 2nd Ave","Manhattan","ybvwFrcobM|DaM","711.89","900","4","3/16/2026 16:15:01","187","3.81"
"005006","3rd Avenue - Northbound - 49th St to 57th St","Manhattan","a_wwFfonbMq^aV","2105.67","900","23","3/16/2026 16:15:01","328","6.42"
"006003","57th Street - Westbound - 3rd Ave to Lexington Ave","Manhattan","a_xwFxwmbMeC|H","502.77","900","47","3/16/2026 16:15:01","52","9.67"
"008118","34th Street - Westbound - Madison Ave to 5th Ave","Manhattan","{puwFdxpbMeC|H","502.84","900","2","3/16/2026 16:15:01","45","11.17"
"011001","42nd Street - Eastbound - Madison Ave to Lexington Ave","Manhattan","qovwFxapbMxCiJtBuG","1014.02","900","34","3/16/2026 16:15:01","126","8.05"
"011012","Madison Avenue - Northbound - 42nd St to 49th St","Manhattan","_pvwFpapbMaG{DyJuGwFqD","1841.72","900","19","3/16/2026 16:15:01","770","2.39"
"011014","42nd Street - Westbound - Madison Ave to 5th Ave","Manhattan","mpvwFfapbMgC`I","509.42","900","5","3/16/2026 16:15:01","247","2.06"
"012015","49th Street - Westbound - Madison Ave to 5th Ave","Manhattan","ukwwFfmobMgCbI","511.81","900","10","3/16/2026 16:15:01","40","12.8"
"014011","42nd Street - Eastbound - 5th Ave to Madison Ave","Manhattan","wsvwF|kpbMdCcI","510.08","900","6","3/16/2026 16:15:01","83","6.15"
"014118","5th Avenue - Southbound - 42nd St to 34th St","Manhattan","ktvwFpkpbMt^xU","2106.79","900","12","3/16/2026 16:15:01","198.5","10.61"
"015014","5th Avenue - Southbound - 49th St to 42th St","Manhattan","}owwFhwobMvFxDzFrD`KzG","1848.97","900","14","3/16/2026 16:15:01","315.5","5.86"
"015018","49th Street - Westbound - 5th Ave to 6th Ave","Manhattan","}owwFhwobMoGdS","1021.19","900","28","3/16/2026 16:15:01","81.5","12.53"
"016015","5th Avenue - Southbound - 57th St to 49th St","Manhattan","ooxwFh`obMdC`B|BxAxB`BzB~A`CpAvFtD|BxA","2105.11","900","11","3/16/2026 16:15:01","494","4.26"
"016019","57th Street - Westbound - 5th Ave to 6th Ave","Manhattan","_pxwF~_obMoGdS","1021.13","900","40","3/16/2026 16:15:01","71","14.38"
"017018","6th Avenue - Northbound - 42nd St to 49th St","Manhattan","y|vwFx_qbMaK}GwFqDyFwD","1844.4","900","25","3/16/2026 16:15:01","149","12.38"
"018019","6th Avenue - Northbound - 49th St to 57th St","Manhattan","kxwwFpkpbMyJoGiFgDqKgH","2110.72","900","14","3/16/2026 16:15:01","327","6.45"
