"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"002012","49th Street - Westbound - Lexington Ave to Madison Ave","Manhattan","ecwwFdynbMgC~HgC~H","1013.97","900","14","3/15/2026 12:40:12","616.5","1.64"
"003002","Lexington Avenue - Southbound - 57th St to 49th St","Manhattan","ybxwF`bnbM??vRxMzJfG","2109.11","900","20","3/15/2026 12:40:12","139","15.17"
"005006","3rd Avenue - Northbound - 49th St to 57th St","Manhattan","a_wwFfonbMq^aV","2105.67","900","20","3/15/2026 12:40:12","73.5","28.65"
"006003","57th Street - Westbound - 3rd Ave to Lexington Ave","Manhattan","a_xwFxwmbMeC|H","502.77","900","39","3/15/2026 12:40:12","21","23.94"
"008118","34th Street - Westbound - Madison Ave to 5th Ave","Manhattan","{puwFdxpbMeC|H","502.84","900","28","3/15/2026 12:40:12","24.5","20.52"
"012015","49th Street - Westbound - Madison Ave to 5th Ave","Manhattan","ukwwFfmobMgCbI","511.81","900","19","3/15/2026 12:40:12","31","16.51"
"016015","5th Avenue - Southbound - 57th St to 49th St","Manhattan","ooxwFh`obMdC`B|BxAxB`BzB~A`CpAvFtD|BxA","2105.11","900","16","3/15/2026 12:40:12","194","10.85"
"020008","34th Street - Westbound - 3rd Ave to Madison Ave","Manhattan","eduwFzyobMeCbIgCbIgC`I","1531.44","900","23","3/15/2026 12:40:12","75","20.42"
"021003","Lexington Avenue - Southbound - 72nd St to 57th St","Manhattan","e~ywFzvlbMbOrJrNjJxFtDxRnM","3956.84","900","30","3/15/2026 12:40:12","184","21.5"
"021193","72nd Street - Eastbound - Lexington Ave to 2nd Ave","Manhattan","}}ywF~vlbMrC_JrAgEn@wAl@uB","1205.26","900","31","3/15/2026 12:40:12","93","12.96"
"022016","5th Avenue - Southbound - 72nd St to 57th St","Manhattan","yjzwF|tmbM|NrJtRhMtVlP","3957.63","900","20","3/15/2026 12:40:12","264","14.99"
"022021","72nd Street - Eastbound - 5th Ave to Lexington Ave","Manhattan","kjzwFfumbMtKa]","1521.33","900","10","3/15/2026 12:40:12","172","8.84"
"023060","34th Street - Westbound - 6th Ave to 7th Ave","Manhattan","q}uwFdvqbMqF~P","910.15","900","7","3/15/2026 12:40:12","661","1.38"
"023118","34th Street - Eastbound - 6th Ave to 5th Ave","Manhattan","w|uwFzvqbMlGeS","1019.53","900","73","3/15/2026 12:40:12","60","16.99"
"029150","Belt Pkwy EB @ Cross Bay Blvd - Rockaway Blvd @ Farmers Blvd","Queens","mqewFdcuaM_B_Hy@cGEiFnAaKzByL|@yI`A}Gf@aKbFoNWiNbEmn@`@}M}@mHgHmWkBwTY}Vx@sZb@mIzHm`A`DmQhJ{YbBaJ|AgE","19472.98","900","2","3/15/2026 12:40:12","984","19.79"
"034025","Belt Pkwy - Westbound - Flatbush Ave to Ocean Pkwy","Brooklyn","u~wvFfdbbMxErAnFb@xDOdJy@jF\`Dr@fFtCfEfEtCvElD|HlChI`BpKfAfNLnPWxLyA|PcDxQ{BhKo@`GQjHd@dK`Epb@~@jQh@nRFjFQtHu@bIg@~LDbKr@bLtBvWr@bU","19653.72","900","35","3/15/2026 12:40:12","282","69.69"
